
irr,tamb,tmodule,wind,pack
821,37.91,52.21,1.8,41.53
823,38.08,52.62,1.6,41.49
826,37.91,52.62,1.6,41.57
821,37.67,52.86,1.4,41.37
818,37.26,52.05,1.5,41.23
821,37.1,51.81,1.6,41.47
831,36.53,51.08,1.9,41.68
831,36.53,50.83,1.9,41.89
828,36.29,51.24,1.9,41.88
828,36.7,52.05,1.8,41.97
831,36.86,52.21,1.8,42.17
831,37.26,52.46,1.8,42.25
838,37.1,52.46,1.8,42.24
833,37.67,52.86,1.6,42.29
833,38.48,53.43,1.5,42.17
836,38.65,53.59,1.3,42.22
840,38.48,53.27,1.3,42.54
836,39.05,53.59,1.3,42.32
836,39.05,53.43,1.3,42.54
838,39.05,53.59,1.4,42.66
840,38.65,53.59,1.4,42.56
833,39.05,54.0,1.5,42.09
838,39.29,54.0,1.5,42.53
845,39.29,54.25,1.5,42.85
840,40.03,54.81,1.5,42.64
833,40.27,55.06,1.3,42.32
831,40.03,55.22,1.2,42.14
831,41.25,55.79,1.1,42.27
828,41.49,55.63,1.0,42.09
843,41.25,55.63,1.1,42.66
845,42.06,56.11,1.2,43.1
838,42.46,56.28,1.2,42.9
848,42.87,56.28,1.3,43.2
853,42.63,56.11,1.3,43.52
845,43.28,56.52,1.3,43.26
845,43.44,56.68,1.5,43.13
848,43.28,56.28,1.7,43.43
848,42.87,55.79,1.8,43.7
855,42.06,55.38,1.8,43.62
860,42.63,55.79,1.8,44.23
872,42.22,56.11,1.7,45.03
853,41.81,55.79,1.8,43.88
865,42.06,56.11,1.9,44.63
867,43.28,56.52,2.1,44.54
865,43.6,56.68,2.1,44.55
867,43.28,56.52,2.1,44.75
867,42.46,55.38,2.2,44.84
870,42.46,55.38,2.3,45.02
877,43.03,55.63,2.3,45.4
872,43.03,55.63,2.3,45.25
879,42.22,55.38,2.3,45.37
877,41.49,55.06,2.5,45.43
872,41.25,54.81,2.5,45.36
877,40.84,54.65,2.4,45.5
872,40.68,55.22,2.4,45.33
872,40.43,55.63,2.3,45.45
879,41.08,55.63,2.1,45.53
879,40.68,55.79,2.1,45.22
877,41.08,55.79,2.1,45.27
877,40.43,55.63,2.0,44.13
877,40.43,56.11,2.0,45.21
879,41.65,57.25,1.7,45.06
879,42.06,57.5,1.6,45.39
882,42.06,57.25,1.5,45.37
879,40.68,56.11,1.6,45.26
884,41.08,55.38,1.7,45.59
884,41.08,55.22,1.9,45.63
887,40.43,55.06,2.0,45.73
884,40.68,55.38,2.0,45.57
884,39.86,55.22,2.1,45.63
887,39.46,54.81,2.2,46.0
892,39.7,55.06,2.3,45.82
